"power_at_n" "id" "effect_size" "sd" "d"
"128" 0.81 15 -0.6 1 0.607761541956757
"129" 0.82 16 -0.6 1 0.592069322749553
"130" 0.76 17 -0.6 1 0.603938270724838
"131" 0.83 18 -0.6 1 0.585422947200526
"132" 0.86 19 -0.6 1 0.643880664972148
"133" 0.8 20 -0.6 1 0.558633338161635
"134" 0.86 21 -0.6 1 0.563129508706238
"135" 0.86 22 -0.6 1 0.586284755002871
"136" 0.87 23 -0.6 1 0.596669331382905
"137" 0.81 24 -0.6 1 0.5952881206016
"138" 0.89 25 -0.6 1 0.573621304691705
"139" 0.95 26 -0.6 1 0.626986404171859
"140" 0.77 1 -0.8 1 0.815603755794057
"141" 0.79 2 -0.8 1 0.825456550085363
"142" 0.79 3 -0.8 1 0.781508009305376
"143" 0.84 4 -0.8 1 0.81491281349625
"144" 0.83 5 -0.8 1 0.794281131081667
"145" 0.92 6 -0.8 1 0.837121551690964
"146" 0.86 7 -0.8 1 0.810134565811659
"147" 0.88 8 -0.8 1 0.770605570585822
"148" 0.91 9 -0.8 1 0.781643221127921
"149" 0.94 10 -0.8 1 0.790588476196426
"150" 0.93 11 -0.8 1 0.784228866853979
"151" 0.96 12 -0.8 1 0.807041948911482
