subject,bias,absolute,group,group_c,time,time_c,hand,hand_c,degree
2,"3,5","3,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-2
2,1,1,disturbance,"0,5",pre,"-0,5",left,"-0,5",20
2,"-0,5","0,5",disturbance,"0,5",pre,"-0,5",left,"-0,5",-30
2,"4,5","4,5",disturbance,"0,5",pre,"-0,5",right,"0,5",24
2,"-0,5","0,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-26
2,"7,5","7,5",disturbance,"0,5",pre,"-0,5",right,"0,5",16
2,"1,5","1,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-18
2,-6,6,disturbance,"0,5",pre,"-0,5",left,"-0,5",12
2,-4,4,disturbance,"0,5",post,"0,5",left,"-0,5",22
2,"9,5","9,5",disturbance,"0,5",post,"0,5",right,"0,5",10
2,1,1,disturbance,"0,5",post,"0,5",right,"0,5",-16
2,1,1,disturbance,"0,5",post,"0,5",right,"0,5",26
2,"-5,5","5,5",disturbance,"0,5",post,"0,5",left,"-0,5",14
2,6,6,disturbance,"0,5",post,"0,5",right,"0,5",18
2,-5,5,disturbance,"0,5",post,"0,5",left,"-0,5",-12
2,"1,5","1,5",disturbance,"0,5",post,"0,5",right,"0,5",-8
2,"4,5","4,5",disturbance,"0,5",post,"0,5",right,"0,5",-24
2,-2,2,disturbance,"0,5",post,"0,5",left,"-0,5",6
2,-3,3,disturbance,"0,5",post,"0,5",left,"-0,5",-28
2,-3,3,disturbance,"0,5",post,"0,5",left,"-0,5",-4
2,8,8,disturbance,"0,5",post,"0,5",right,"0,5",2
2,"-10,5","10,5",disturbance,"0,5",post,"0,5",left,"-0,5",-20
2,"-8,5","8,5",disturbance,"0,5",post,"0,5",left,"-0,5",30
2,"5,5","5,5",disturbance,"0,5",post,"0,5",right,"0,5",20
2,4,4,disturbance,"0,5",post,"0,5",right,"0,5",4
2,-5,5,disturbance,"0,5",post,"0,5",left,"-0,5",24
2,2,2,disturbance,"0,5",post,"0,5",right,"0,5",-14
2,-8,8,disturbance,"0,5",post,"0,5",left,"-0,5",16
2,"-4,5","4,5",disturbance,"0,5",post,"0,5",left,"-0,5",-2
2,-6,6,disturbance,"0,5",post,"0,5",left,"-0,5",-26
2,-1,1,disturbance,"0,5",post,"0,5",right,"0,5",-30
2,-10,10,disturbance,"0,5",post,"0,5",left,"-0,5",-10
2,-10,10,disturbance,"0,5",post,"0,5",left,"-0,5",-18
2,"4,5","4,5",disturbance,"0,5",post,"0,5",right,"0,5",-6
2,5,5,disturbance,"0,5",post,"0,5",right,"0,5",12
2,-11,11,disturbance,"0,5",post,"0,5",left,"-0,5",8
2,"4,5","4,5",disturbance,"0,5",post,"0,5",right,"0,5",-22
2,"3,5","3,5",disturbance,"0,5",post,"0,5",right,"0,5",28
3,-4,4,control,"-0,5",pre,"-0,5",left,"-0,5",30
3,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",-4
3,13,13,control,"-0,5",pre,"-0,5",right,"0,5",18
3,-1,1,control,"-0,5",pre,"-0,5",left,"-0,5",6
3,"7,5","7,5",control,"-0,5",pre,"-0,5",right,"0,5",-8
3,"-8,5","8,5",control,"-0,5",pre,"-0,5",left,"-0,5",-20
3,7,7,control,"-0,5",pre,"-0,5",right,"0,5",2
3,11,11,control,"-0,5",pre,"-0,5",right,"0,5",26
3,"1,5","1,5",control,"-0,5",pre,"-0,5",left,"-0,5",22
3,7,7,control,"-0,5",pre,"-0,5",right,"0,5",-24
3,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",-12
3,10,10,control,"-0,5",pre,"-0,5",right,"0,5",10
3,"-7,5","7,5",control,"-0,5",pre,"-0,5",left,"-0,5",-28
3,"-4,5","4,5",control,"-0,5",pre,"-0,5",left,"-0,5",14
3,11,11,control,"-0,5",pre,"-0,5",right,"0,5",-16
3,9,9,control,"-0,5",pre,"-0,5",left,"-0,5",-26
3,2,2,control,"-0,5",pre,"-0,5",right,"0,5",-6
3,-6,6,control,"-0,5",pre,"-0,5",left,"-0,5",-18
3,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",8
3,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",16
3,"5,5","5,5",control,"-0,5",pre,"-0,5",right,"0,5",-14
3,9,9,control,"-0,5",pre,"-0,5",right,"0,5",20
3,4,4,control,"-0,5",pre,"-0,5",right,"0,5",4
3,"8,5","8,5",control,"-0,5",pre,"-0,5",right,"0,5",12
3,"5,5","5,5",control,"-0,5",pre,"-0,5",right,"0,5",-30
3,9,9,control,"-0,5",pre,"-0,5",right,"0,5",28
3,0,0,control,"-0,5",pre,"-0,5",left,"-0,5",24
3,8,8,control,"-0,5",pre,"-0,5",right,"0,5",-22
3,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",-2
3,-1,1,control,"-0,5",pre,"-0,5",left,"-0,5",-10
3,"-9,5","9,5",control,"-0,5",post,"0,5",left,"-0,5",-24
3,2,2,control,"-0,5",post,"0,5",right,"0,5",30
3,"-10,5","10,5",control,"-0,5",post,"0,5",left,"-0,5",-16
3,-4,4,control,"-0,5",post,"0,5",left,"-0,5",26
3,"1,5","1,5",control,"-0,5",post,"0,5",left,"-0,5",2
3,-3,3,control,"-0,5",post,"0,5",left,"-0,5",10
3,"0,5","0,5",control,"-0,5",post,"0,5",right,"0,5",-20
3,1,1,control,"-0,5",post,"0,5",right,"0,5",22
3,"0,5","0,5",control,"-0,5",post,"0,5",right,"0,5",14
3,"-6,5","6,5",control,"-0,5",post,"0,5",left,"-0,5",-8
3,"3,5","3,5",control,"-0,5",post,"0,5",right,"0,5",-12
3,"-4,5","4,5",control,"-0,5",post,"0,5",left,"-0,5",18
3,"4,5","4,5",control,"-0,5",post,"0,5",right,"0,5",6
3,1,1,control,"-0,5",post,"0,5",right,"0,5",-28
3,-4,4,control,"-0,5",post,"0,5",right,"0,5",-4
3,-6,6,control,"-0,5",post,"0,5",left,"-0,5",-30
3,"-4,5","4,5",control,"-0,5",post,"0,5",left,"-0,5",4
3,4,4,control,"-0,5",post,"0,5",right,"0,5",8
3,-6,6,control,"-0,5",post,"0,5",left,"-0,5",-22
3,-5,5,control,"-0,5",post,"0,5",left,"-0,5",28
3,0,0,control,"-0,5",post,"0,5",right,"0,5",-10
3,-8,8,control,"-0,5",post,"0,5",left,"-0,5",20
3,-1,1,control,"-0,5",post,"0,5",right,"0,5",-2
3,"1,5","1,5",control,"-0,5",post,"0,5",right,"0,5",24
3,2,2,control,"-0,5",post,"0,5",right,"0,5",-18
3,"1,5","1,5",control,"-0,5",post,"0,5",right,"0,5",16
3,-6,6,control,"-0,5",post,"0,5",left,"-0,5",-6
3,-10,10,control,"-0,5",post,"0,5",left,"-0,5",-14
